date,epiyear,epiweek,location,flu.admits
2022-10-08,2022,40,08,1
2022-10-15,2022,41,08,5
2022-10-22,2022,42,08,15
2022-10-29,2022,43,08,32
2022-11-05,2022,44,08,32
2022-11-12,2022,45,08,61
2022-11-19,2022,46,08,114
2022-11-26,2022,47,08,157
2022-12-03,2022,48,08,160
2022-12-10,2022,49,08,243
2022-12-17,2022,50,08,255
2022-12-24,2022,51,08,350
2022-12-31,2022,52,08,311
2023-01-07,2023,1,08,146
2023-01-14,2023,2,08,85
2023-01-21,2023,3,08,33
2023-01-28,2023,4,08,30
2023-02-04,2023,5,08,38
2023-02-11,2023,6,08,24
2023-02-18,2023,7,08,16
2023-02-25,2023,8,08,14
2023-03-04,2023,9,08,17
2023-03-11,2023,10,08,11
2023-03-18,2023,11,08,10
2023-03-25,2023,12,08,11
2023-04-01,2023,13,08,6
2023-04-08,2023,14,08,7
2023-04-15,2023,15,08,19
2023-04-22,2023,16,08,10
2023-04-29,2023,17,08,12
2023-05-06,2023,18,08,4
2023-05-13,2023,19,08,8
2023-05-20,2023,20,08,12
2023-05-27,2023,21,08,6
2022-02-12,2022,6,09,0
2022-02-19,2022,7,09,1
2022-02-26,2022,8,09,7
2022-03-05,2022,9,09,7
2022-03-12,2022,10,09,6
2022-03-19,2022,11,09,18
2022-03-26,2022,12,09,25
2022-04-02,2022,13,09,30
2022-04-09,2022,14,09,44
2022-04-16,2022,15,09,51
2022-04-23,2022,16,09,50
2022-04-30,2022,17,09,57
2022-05-07,2022,18,09,76
2022-05-14,2022,19,09,79
2022-05-21,2022,20,09,63
2022-05-28,2022,21,09,34
2022-06-04,2022,22,09,20
2022-06-11,2022,23,09,37
2022-06-18,2022,24,09,14
2022-06-25,2022,25,09,4
2022-07-02,2022,26,09,9
2022-07-09,2022,27,09,4
2022-07-16,2022,28,09,3
2022-07-23,2022,29,09,6
2022-07-30,2022,30,09,4
2022-08-06,2022,31,09,3
2022-08-13,2022,32,09,0
2022-08-20,2022,33,09,2
2022-08-27,2022,34,09,9
2022-09-03,2022,35,09,4
2022-09-10,2022,36,09,3
2022-09-17,2022,37,09,4
2022-09-24,2022,38,09,3
2022-10-01,2022,39,09,2
2022-10-08,2022,40,09,3
2022-10-15,2022,41,09,9
2022-10-22,2022,42,09,9
2022-10-29,2022,43,09,37
2022-11-05,2022,44,09,41
2022-11-12,2022,45,09,58
2022-11-19,2022,46,09,104
2022-11-26,2022,47,09,199
2022-12-03,2022,48,09,424
2022-12-10,2022,49,09,419
2022-12-17,2022,50,09,352
2022-12-24,2022,51,09,275
2022-12-31,2022,52,09,248
2023-01-07,2023,1,09,160
2023-01-14,2023,2,09,72
2023-01-21,2023,3,09,31
2023-01-28,2023,4,09,32
2023-02-04,2023,5,09,14
2023-02-11,2023,6,09,14
2023-02-18,2023,7,09,16
2023-02-25,2023,8,09,16
2023-03-04,2023,9,09,9
2023-03-11,2023,10,09,21
2023-03-18,2023,11,09,9
2023-03-25,2023,12,09,12
2023-04-01,2023,13,09,14
2023-04-08,2023,14,09,21
2023-04-15,2023,15,09,11
2023-04-22,2023,16,09,7
2023-04-29,2023,17,09,9
2023-05-06,2023,18,09,7
2023-05-13,2023,19,09,6
2023-05-20,2023,20,09,12
2023-05-27,2023,21,09,9
2022-02-12,2022,6,10,2
2022-02-19,2022,7,10,3
2022-02-26,2022,8,10,1
2022-03-05,2022,9,10,1
2022-03-12,2022,10,10,7
2022-03-19,2022,11,10,6
2022-03-26,2022,12,10,7
2022-04-02,2022,13,10,4
2022-04-09,2022,14,10,14
2022-04-16,2022,15,10,41
2022-04-23,2022,16,10,18
2022-04-30,2022,17,10,6
2022-05-07,2022,18,10,7
2022-05-14,2022,19,10,4
2022-05-21,2022,20,10,4
2022-05-28,2022,21,10,4
2022-06-04,2022,22,10,9
2022-06-11,2022,23,10,5
2022-06-18,2022,24,10,2
2022-06-25,2022,25,10,4
2022-07-02,2022,26,10,0
2022-07-09,2022,27,10,1
2022-07-16,2022,28,10,1
2022-07-23,2022,29,10,0
2022-07-30,2022,30,10,2
2022-08-06,2022,31,10,0
2022-08-13,2022,32,10,1
2022-08-20,2022,33,10,1
2022-08-27,2022,34,10,1
2022-09-03,2022,35,10,3
2022-09-10,2022,36,10,0
2022-09-17,2022,37,10,2
2022-09-24,2022,38,10,0
2022-10-01,2022,39,10,0
2022-10-08,2022,40,10,0
2022-10-15,2022,41,10,0
2022-10-22,2022,42,10,1
2022-10-29,2022,43,10,4
2022-11-05,2022,44,10,11
2022-11-12,2022,45,10,15
2022-11-19,2022,46,10,53
2022-11-26,2022,47,10,48
2022-12-03,2022,48,10,79
2022-12-10,2022,49,10,28
2022-12-17,2022,50,10,27
2022-12-24,2022,51,10,29
2022-12-31,2022,52,10,46
2023-01-07,2023,1,10,41
2023-01-14,2023,2,10,11
2023-01-21,2023,3,10,5
2023-01-28,2023,4,10,5
2023-02-04,2023,5,10,15
2023-02-11,2023,6,10,1
2023-02-18,2023,7,10,1
2023-02-25,2023,8,10,0
2023-03-04,2023,9,10,5
2023-03-11,2023,10,10,1
2023-03-18,2023,11,10,0
2023-03-25,2023,12,10,2
2023-04-01,2023,13,10,2
2023-04-08,2023,14,10,0
2023-04-15,2023,15,10,0
2023-04-22,2023,16,10,0
2023-04-29,2023,17,10,1
2023-05-06,2023,18,10,0
2023-05-13,2023,19,10,1
2023-05-20,2023,20,10,0
2023-05-27,2023,21,10,0
2022-02-12,2022,6,11,0
2022-02-19,2022,7,11,1
2022-02-26,2022,8,11,0
2022-03-05,2022,9,11,1
2022-03-12,2022,10,11,4
2022-03-19,2022,11,11,4
2022-03-26,2022,12,11,2
2022-04-02,2022,13,11,4
2022-04-09,2022,14,11,2
2022-04-16,2022,15,11,2
2022-04-23,2022,16,11,1
2022-04-30,2022,17,11,4
2022-05-07,2022,18,11,1
2022-05-14,2022,19,11,5
2022-05-21,2022,20,11,4
2022-05-28,2022,21,11,6
2022-06-04,2022,22,11,4
2022-06-11,2022,23,11,1
2022-06-18,2022,24,11,2
2022-06-25,2022,25,11,3
2022-07-02,2022,26,11,1
2022-07-09,2022,27,11,2
2022-07-16,2022,28,11,1
2022-07-23,2022,29,11,0
2022-07-30,2022,30,11,0
2022-08-06,2022,31,11,2
2022-08-13,2022,32,11,0
2022-08-20,2022,33,11,0
2022-08-27,2022,34,11,1
2022-09-03,2022,35,11,0
2022-09-10,2022,36,11,0
2022-09-17,2022,37,11,0
2022-09-24,2022,38,11,1
2022-10-01,2022,39,11,0
2022-10-08,2022,40,11,1
