forecast_date,target,target_end_date,location,type,quantile,value
2023-06-01,2 month ahead inc flu hosp,2023-07-01,02,quantile,0.025,0
2023-06-01,3 month ahead inc flu hosp,2023-08-01,02,quantile,0.025,0
2023-06-01,4 month ahead inc flu hosp,2023-09-01,02,quantile,0.025,0
2023-06-01,1 month ahead inc flu hosp,2023-06-01,02,quantile,0.050,0
2023-06-01,2 month ahead inc flu hosp,2023-07-01,02,quantile,0.050,0
2023-06-01,3 month ahead inc flu hosp,2023-08-01,02,quantile,0.050,0
2023-06-01,4 month ahead inc flu hosp,2023-09-01,02,quantile,0.050,0
2023-06-01,1 month ahead inc flu hosp,2023-06-01,02,quantile,0.100,0
2023-06-01,2 month ahead inc flu hosp,2023-07-01,02,quantile,0.100,0
2023-06-01,3 month ahead inc flu hosp,2023-08-01,02,quantile,0.100,0
2023-06-01,4 month ahead inc flu hosp,2023-09-01,02,quantile,0.100,0
2023-06-01,1 month ahead inc flu hosp,2023-06-01,02,quantile,0.150,0
2023-06-01,2 month ahead inc flu hosp,2023-07-01,02,quantile,0.150,0
2023-06-01,3 month ahead inc flu hosp,2023-08-01,02,quantile,0.150,0
2023-06-01,4 month ahead inc flu hosp,2023-09-01,02,quantile,0.150,0
2023-06-01,1 month ahead inc flu hosp,2023-06-01,02,quantile,0.200,0
2023-06-01,2 month ahead inc flu hosp,2023-07-01,02,quantile,0.200,0
2023-06-01,3 month ahead inc flu hosp,2023-08-01,02,quantile,0.200,0
2023-06-01,4 month ahead inc flu hosp,2023-09-01,02,quantile,0.200,0
2023-06-01,1 month ahead inc flu hosp,2023-06-01,02,quantile,0.250,0
2023-06-01,2 month ahead inc flu hosp,2023-07-01,02,quantile,0.250,0
2023-06-01,3 month ahead inc flu hosp,2023-08-01,02,quantile,0.250,0
2023-06-01,4 month ahead inc flu hosp,2023-09-01,02,quantile,0.250,0
2023-06-01,1 month ahead inc flu hosp,2023-06-01,02,quantile,0.300,0
2023-06-01,2 month ahead inc flu hosp,2023-07-01,02,quantile,0.300,0
2023-06-01,3 month ahead inc flu hosp,2023-08-01,02,quantile,0.300,0
2023-06-01,4 month ahead inc flu hosp,2023-09-01,02,quantile,0.300,0
2023-06-01,1 month ahead inc flu hosp,2023-06-01,02,quantile,0.350,0
2023-06-01,2 month ahead inc flu hosp,2023-07-01,02,quantile,0.350,0
2023-06-01,3 month ahead inc flu hosp,2023-08-01,02,quantile,0.350,0
2023-06-01,4 month ahead inc flu hosp,2023-09-01,02,quantile,0.350,0
2023-06-01,1 month ahead inc flu hosp,2023-06-01,02,quantile,0.400,5
2023-06-01,2 month ahead inc flu hosp,2023-07-01,02,quantile,0.400,4
2023-06-01,3 month ahead inc flu hosp,2023-08-01,02,quantile,0.400,3
2023-06-01,4 month ahead inc flu hosp,2023-09-01,02,quantile,0.400,1
2023-06-01,1 month ahead inc flu hosp,2023-06-01,02,quantile,0.450,9
2023-06-01,2 month ahead inc flu hosp,2023-07-01,02,quantile,0.450,10
2023-06-01,3 month ahead inc flu hosp,2023-08-01,02,quantile,0.450,10
2023-06-01,4 month ahead inc flu hosp,2023-09-01,02,quantile,0.450,9
2023-06-01,1 month ahead inc flu hosp,2023-06-01,02,quantile,0.500,14
2023-06-01,2 month ahead inc flu hosp,2023-07-01,02,quantile,0.500,16
2023-06-01,3 month ahead inc flu hosp,2023-08-01,02,quantile,0.500,17
2023-06-01,4 month ahead inc flu hosp,2023-09-01,02,quantile,0.500,16
2023-06-01,1 month ahead inc flu hosp,2023-06-01,02,quantile,0.550,18
2023-06-01,2 month ahead inc flu hosp,2023-07-01,02,quantile,0.550,22
2023-06-01,3 month ahead inc flu hosp,2023-08-01,02,quantile,0.550,24
2023-06-01,4 month ahead inc flu hosp,2023-09-01,02,quantile,0.550,24
2023-06-01,1 month ahead inc flu hosp,2023-06-01,02,quantile,0.600,23
2023-06-01,2 month ahead inc flu hosp,2023-07-01,02,quantile,0.600,29
2023-06-01,3 month ahead inc flu hosp,2023-08-01,02,quantile,0.600,31
2023-06-01,4 month ahead inc flu hosp,2023-09-01,02,quantile,0.600,31
2023-06-01,1 month ahead inc flu hosp,2023-06-01,02,quantile,0.650,27
2023-06-01,2 month ahead inc flu hosp,2023-07-01,02,quantile,0.650,35
2023-06-01,3 month ahead inc flu hosp,2023-08-01,02,quantile,0.650,38
2023-06-01,4 month ahead inc flu hosp,2023-09-01,02,quantile,0.650,39
2023-06-01,1 month ahead inc flu hosp,2023-06-01,02,quantile,0.700,32
2023-06-01,2 month ahead inc flu hosp,2023-07-01,02,quantile,0.700,42
2023-06-01,3 month ahead inc flu hosp,2023-08-01,02,quantile,0.700,45
2023-06-01,4 month ahead inc flu hosp,2023-09-01,02,quantile,0.700,48
2023-06-01,1 month ahead inc flu hosp,2023-06-01,02,quantile,0.750,38
2023-06-01,2 month ahead inc flu hosp,2023-07-01,02,quantile,0.750,49
2023-06-01,3 month ahead inc flu hosp,2023-08-01,02,quantile,0.750,54
2023-06-01,4 month ahead inc flu hosp,2023-09-01,02,quantile,0.750,57
2023-06-01,1 month ahead inc flu hosp,2023-06-01,02,quantile,0.800,44
2023-06-01,2 month ahead inc flu hosp,2023-07-01,02,quantile,0.800,57
2023-06-01,3 month ahead inc flu hosp,2023-08-01,02,quantile,0.800,63
2023-06-01,4 month ahead inc flu hosp,2023-09-01,02,quantile,0.800,67
2023-06-01,1 month ahead inc flu hosp,2023-06-01,02,quantile,0.850,51
2023-06-01,2 month ahead inc flu hosp,2023-07-01,02,quantile,0.850,66
2023-06-01,3 month ahead inc flu hosp,2023-08-01,02,quantile,0.850,74
2023-06-01,4 month ahead inc flu hosp,2023-09-01,02,quantile,0.850,79
2023-06-01,1 month ahead inc flu hosp,2023-06-01,02,quantile,0.900,59
2023-06-01,2 month ahead inc flu hosp,2023-07-01,02,quantile,0.900,78
2023-06-01,3 month ahead inc flu hosp,2023-08-01,02,quantile,0.900,87
2023-06-01,4 month ahead inc flu hosp,2023-09-01,02,quantile,0.900,93
2023-06-01,1 month ahead inc flu hosp,2023-06-01,02,quantile,0.950,72
2023-06-01,2 month ahead inc flu hosp,2023-07-01,02,quantile,0.950,96
2023-06-01,3 month ahead inc flu hosp,2023-08-01,02,quantile,0.950,107
2023-06-01,4 month ahead inc flu hosp,2023-09-01,02,quantile,0.950,115
2023-06-01,1 month ahead inc flu hosp,2023-06-01,02,quantile,0.975,84
2023-06-01,2 month ahead inc flu hosp,2023-07-01,02,quantile,0.975,111
2023-06-01,3 month ahead inc flu hosp,2023-08-01,02,quantile,0.975,124
2023-06-01,4 month ahead inc flu hosp,2023-09-01,02,quantile,0.975,134
2023-06-01,1 month ahead inc flu hosp,2023-06-01,02,quantile,0.990,97
2023-06-01,2 month ahead inc flu hosp,2023-07-01,02,quantile,0.990,128
2023-06-01,3 month ahead inc flu hosp,2023-08-01,02,quantile,0.990,144
2023-06-01,4 month ahead inc flu hosp,2023-09-01,02,quantile,0.990,156
2023-06-01,1 month ahead inc flu hosp,2023-06-01,04,point,NA,470
2023-06-01,2 month ahead inc flu hosp,2023-07-01,04,point,NA,450
2023-06-01,3 month ahead inc flu hosp,2023-08-01,04,point,NA,459
2023-06-01,4 month ahead inc flu hosp,2023-09-01,04,point,NA,466
2023-06-01,1 month ahead inc flu hosp,2023-06-01,04,quantile,0.010,0
2023-06-01,2 month ahead inc flu hosp,2023-07-01,04,quantile,0.010,0
2023-06-01,3 month ahead inc flu hosp,2023-08-01,04,quantile,0.010,0
2023-06-01,4 month ahead inc flu hosp,2023-09-01,04,quantile,0.010,0
2023-06-01,1 month ahead inc flu hosp,2023-06-01,04,quantile,0.025,0
